Month,Incident Number,Date of Incident,Day of Week,Number of Victims under 18,Number of Victims over 18,Number of Offenders under 18,Number of Offenders over 18,Race/Ethnicity of Offenders,Offense(s),Offense Location,Bias,Zip Code,APD Sector,Council District
Jul,2017-493909,09-01-2017 00:00,Thu,0,3,2,3,Hispanic,Destruction,Other,Anti-Black or African American,78702,Charlie,3
May,2017-935570,11/15/2017 12:00:00 AM,Tue,0,0,2,3,Asian,Aggravated Assault,Other,Anti-Jewish,78704,Ida,1
Dec,2017-715393,06-04-2017 00:00,Sat,2,1,0,1,Black or African American/Not Hispanic,Robbery,School/College,Anti-White,78702,Ida,7
Nov,2017-870764,07/14/2017 12:00:00 AM,Thu,1,1,0,2,Other,Robbery,Home/Residence,Anti-Other,78701,Charlie,5
Aug,2017-618514,02/23/2017 12:00:00 AM,Wed,2,1,0,2,Unknown,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78702,Edward,10
Nov,2017-152259,01/20/2017 12:00:00 AM,Thu,2,2,2,0,Hispanic,Destruction,School/College,Anti-Other,78705,Edward,5
Jul,2017-400589,02-10-2017 00:00,Thu,2,2,0,0,Unknown,Robbery,Other,Anti-Other,78757,Ida,10
Feb,2017-438709,06/21/2017 12:00:00 AM,Tue,0,2,2,3,Asian,Robbery,Home/Residence,Anti-Black or African American,78757,Ida,9
Apr,2017-346992,08/20/2017 12:00:00 AM,Sat,2,1,1,0,Asian,Destruction,Other,Anti-Hispanic,78701,Edward,2
Aug,2017-159658,10-05-2017 00:00,Wed,1,2,0,2,Hispanic,Destruction,Home/Residence,Anti-Black or African American,78704,Henry,2
Dec,2017-545063,05/23/2017 12:00:00 AM,Mon,0,3,0,2,Black or African American/Not Hispanic,Vandalism,School/College,Anti-White,78704,David,10
Dec,2017-658359,09/16/2017 12:00:00 AM,Fri,1,1,1,1,Unknown,Vandalism,Home/Residence,Anti-Black or African American,78702,Charlie,3
Jan,2017-633558,06/30/2017 12:00:00 AM,Thu,2,3,0,2,Other,Destruction,Store/Shop,Anti-Other,78705,David,8
Jan,2017-532125,10-07-2017 00:00,Fri,1,1,1,1,Asian,Vandalism,Other,Anti-Other,78704,Edward,1
Apr,2017-862793,03/16/2017 12:00:00 AM,Wed,1,2,0,3,Black or African American/Not Hispanic,Vandalism,Other,Anti-Other,78757,Charlie,8
May,2017-241565,06/26/2017 12:00:00 AM,Sun,1,0,2,3,Black or African American/Not Hispanic,Destruction,School/College,Anti-White,78701,Ida,9
Jun,2017-173589,05/22/2017 12:00:00 AM,Sun,1,1,0,2,Unknown,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78704,David,3
Mar,2017-188156,01-01-2018 00:00,Sun,1,2,1,3,Black or African American/Not Hispanic,Vandalism,School/College,Anti-Jewish,78702,Edward,10
Jun,2017-486049,05-03-2017 00:00,Tue,2,3,1,3,Hispanic,Burglary,Home/Residence,Anti-White,78705,David,10
Jun,2017-181646,02-11-2017 00:00,Fri,0,2,2,1,Unknown,Theft,Other,Anti-Black or African American,78705,Edward,9
Sep,2017-760360,03/29/2017 12:00:00 AM,Tue,1,0,0,3,Unknown,Destruction,School/College,Anti-Hispanic,78705,David,5
Aug,2017-481872,06/15/2017 12:00:00 AM,Wed,2,3,0,2,Unknown,Vandalism,Store/Shop,Anti-White,78702,Edward,6
Feb,2017-576344,02/25/2017 12:00:00 AM,Fri,1,1,1,0,Unknown,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78701,Charlie,5
Nov,2017-640187,10-11-2017 00:00,Tue,2,2,0,2,Other,Destruction,Park/Playground,Anti-Jewish,78705,Charlie,2
Jul,2017-322424,12/28/2017 12:00:00 AM,Wed,0,2,1,0,White/Not Hispanic,Vandalism,Home/Residence,Anti-Hispanic,78705,Ida,1
May,2017-442195,10-10-2017 00:00,Mon,1,1,0,3,Black or African American/Not Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78702,Ida,9
Mar,2017-489413,08/27/2017 12:00:00 AM,Sat,2,3,2,2,Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78701,David,7
Jun,2017-908461,05-09-2017 00:00,Mon,2,3,2,0,Other,Burglary,Other,Anti-Jewish,78757,Ida,10
Aug,2017-848904,03/14/2017 12:00:00 AM,Mon,0,0,0,2,White/Not Hispanic,Destruction,Home/Residence,Anti-Black or African American,78702,Henry,1
Aug,2017-686857,01-03-2017 00:00,Mon,2,0,0,3,Asian,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78701,David,9
May,2017-616427,02/13/2017 12:00:00 AM,Sun,0,0,2,3,Asian,Theft,Store/Shop,Anti-Asian,78757,Charlie,1
Feb,2017-826170,01/14/2017 12:00:00 AM,Fri,0,0,0,1,Unknown,Theft,Other,Anti-Asian,78757,Charlie,7
Feb,2017-589901,04/15/2017 12:00:00 AM,Fri,2,3,0,3,Asian,Vandalism,Other,Anti-Jewish,78704,Henry,5
Dec,2017-351414,02-03-2017 00:00,Thu,0,1,2,2,Black or African American/Not Hispanic,Burglary,Store/Shop,Anti-Jewish,78704,Henry,8
Mar,2017-561917,01/26/2017 12:00:00 AM,Wed,0,0,0,3,Unknown,Robbery,Store/Shop,Anti-Jewish,78704,Charlie,7
Mar,2017-879509,09-04-2017 00:00,Sun,0,1,0,2,Black or African American/Not Hispanic,Burglary,Home/Residence,Anti-Asian,78757,Ida,9
Dec,2017-892381,08/19/2017 12:00:00 AM,Fri,2,0,1,2,Unknown,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-White,78701,Edward,4
Jul,2017-676083,01-02-2017 00:00,Sun,0,1,1,1,Other,Vandalism,School/College,Anti-Hispanic,78705,Ida,7
Jul,2017-863445,05-04-2017 00:00,Wed,0,3,0,1,White/Not Hispanic,Robbery,Home/Residence,Anti-Other,78704,David,6
Oct,2017-912517,09/22/2017 12:00:00 AM,Thu,2,0,0,2,White/Not Hispanic,Theft,Park/Playground,Anti-Black or African American,78704,David,4
Sep,2017-169329,08-04-2017 00:00,Thu,0,3,2,2,Unknown,Burglary,Park/Playground,Anti-Hispanic,78705,Henry,3
Sep,2017-312244,03/31/2017 12:00:00 AM,Thu,0,3,0,1,Black or African American/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Black or African American,78702,Edward,2
Nov,2017-133002,07/26/2017 12:00:00 AM,Tue,2,1,0,2,Asian,Robbery,Store/Shop,Anti-Asian,78705,Charlie,6
Jul,2017-733723,07/28/2017 12:00:00 AM,Thu,1,3,2,3,Asian,Aggravated Assault,Store/Shop,Anti-Black or African American,78757,David,9
Jul,2017-365137,01/20/2017 12:00:00 AM,Thu,1,0,2,0,Unknown,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78705,Henry,1
Jan,2017-839291,12-10-2017 00:00,Sat,0,0,2,3,Hispanic,Aggravated Assault,Home/Residence,Anti-Other,78705,Edward,2
Nov,2017-670199,02/18/2017 12:00:00 AM,Fri,2,2,1,2,Unknown,Burglary,Park/Playground,Anti-Black or African American,78757,Henry,1
Oct,2017-125898,10-03-2017 00:00,Mon,1,3,0,3,White/Not Hispanic,Theft,Other,Anti-Other,78757,Ida,2
Feb,2017-429678,02-08-2017 00:00,Tue,0,0,0,2,Unknown,Burglary,Home/Residence,Anti-Black or African American,78705,Edward,5
Jun,2017-123475,12-12-2017 00:00,Mon,2,0,0,2,White/Not Hispanic,Theft,School/College,Anti-Other,78705,Edward,7
Apr,2017-264993,11/18/2017 12:00:00 AM,Fri,1,3,2,1,Hispanic,Destruction,Other,Anti-Jewish,78757,David,1
Nov,2017-756404,04-10-2017 00:00,Sun,2,2,2,0,Asian,Robbery,Store/Shop,Anti-Asian,78704,David,4
Jul,2017-374746,10/31/2017 12:00:00 AM,Mon,1,1,0,1,Other,Vandalism,Other,Anti-Black or African American,78702,Edward,3
Mar,2017-772340,02/13/2017 12:00:00 AM,Sun,0,2,1,2,Other,Destruction,School/College,Anti-Hispanic,78701,David,2
Apr,2017-908762,09/28/2017 12:00:00 AM,Wed,2,0,2,2,Other,Destruction,School/College,Anti-Other,78702,Edward,10
Jul,2017-490542,01/25/2017 12:00:00 AM,Tue,0,1,0,1,Asian,Theft,Park/Playground,Anti-Black or African American,78705,Ida,8
Oct,2017-456890,07/16/2017 12:00:00 AM,Sat,2,1,0,1,Unknown,Aggravated Assault,School/College,Anti-Asian,78702,Charlie,6
Sep,2017-633485,10-07-2017 00:00,Fri,0,2,0,3,Unknown,Robbery,School/College,Anti-Hispanic,78757,Charlie,9
Jul,2017-740318,01/26/2017 12:00:00 AM,Wed,0,2,2,0,Asian,Theft,Home/Residence,Anti-White,78702,Charlie,3
Oct,2017-361910,12/24/2017 12:00:00 AM,Sat,1,0,1,0,White/Not Hispanic,Destruction,School/College,Anti-Black or African American,78757,Ida,2
Jul,2017-612380,03-02-2017 00:00,Wed,2,0,0,2,Other,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78705,David,1
Feb,2017-228039,04-08-2017 00:00,Fri,0,1,2,2,White/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78757,Henry,4
Aug,2017-721133,10/19/2017 12:00:00 AM,Wed,0,0,1,1,Asian,Aggravated Assault,Store/Shop,Anti-Jewish,78704,Charlie,6
Jul,2017-370309,07/24/2017 12:00:00 AM,Sun,1,0,2,0,Black or African American/Not Hispanic,Destruction,Other,Anti-Black or African American,78701,Ida,6
May,2017-262365,10-07-2017 00:00,Fri,2,1,0,2,Other,Vandalism,Other,Anti-Other,78757,Charlie,2
May,2017-987363,06-09-2017 00:00,Thu,1,3,0,2,Asian,Aggravated Assault,Home/Residence,Anti-White,78757,Charlie,10
Jul,2017-694019,06-11-2017 00:00,Sat,1,2,0,1,White/Not Hispanic,Burglary,Park/Playground,Anti-Jewish,78701,Charlie,8
Nov,2017-281844,02-06-2017 00:00,Sun,1,1,2,0,Asian,Burglary,Store/Shop,Anti-Black or African American,78702,Edward,8
Jul,2017-545887,11/15/2017 12:00:00 AM,Tue,0,0,2,3,Asian,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78701,Charlie,8
Oct,2017-146304,04/17/2017 12:00:00 AM,Sun,2,0,2,3,Unknown,Burglary,Home/Residence,Anti-Asian,78701,Ida,9
Nov,2017-829927,12-10-2017 00:00,Sat,1,1,0,1,Unknown,Aggravated Assault,Park/Playground,Anti-Hispanic,78704,Henry,10
Jan,2017-277314,03-10-2017 00:00,Thu,1,2,0,0,White/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,Charlie,9
Feb,2017-859922,12-03-2017 00:00,Sat,0,1,0,0,Unknown,Robbery,Other,Anti-White,78757,Henry,5
Sep,2017-530000,11-06-2017 00:00,Sun,2,0,2,2,Other,Robbery,Other,Anti-White,78757,Edward,8
Aug,2017-599218,12-09-2017 00:00,Fri,0,0,2,3,White/Not Hispanic,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78757,Charlie,3
Feb,2017-215374,08/30/2017 12:00:00 AM,Tue,1,2,1,2,Other,Theft,Home/Residence,Anti-Hispanic,78704,Ida,4
Oct,2017-668454,02/19/2017 12:00:00 AM,Sat,0,2,2,2,Hispanic,Robbery,School/College,Anti-White,78702,Henry,5
Jun,2017-801350,06-10-2017 00:00,Fri,1,0,1,1,Other,Aggravated Assault,Park/Playground,Anti-Other,78702,Edward,6
Nov,2017-997428,08/23/2017 12:00:00 AM,Tue,0,0,1,0,Unknown,Vandalism,Other,Anti-Hispanic,78705,Edward,9
Dec,2017-301445,03/27/2017 12:00:00 AM,Sun,0,1,0,3,Asian,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78705,Edward,7
Jan,2017-138729,02/14/2017 12:00:00 AM,Mon,0,0,0,1,Black or African American/Not Hispanic,Theft,Store/Shop,Anti-Black or African American,78704,Edward,4
Jun,2017-764121,05/23/2017 12:00:00 AM,Mon,2,2,2,2,White/Not Hispanic,Aggravated Assault,Other,Anti-Asian,78704,Ida,5
Mar,2017-666040,09-09-2017 00:00,Fri,0,3,2,3,Black or African American/Not Hispanic,Vandalism,Other,Anti-Asian,78702,Ida,2
Feb,2017-806174,05-02-2017 00:00,Mon,2,0,2,2,Hispanic,Robbery,Other,Anti-Hispanic,78757,David,9
Sep,2017-810257,09/18/2017 12:00:00 AM,Sun,2,2,2,2,Hispanic,Vandalism,Park/Playground,Anti-Hispanic,78705,Ida,9
Feb,2017-518493,05-05-2017 00:00,Thu,0,0,1,2,Unknown,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,Edward,5
Jul,2017-303401,03-02-2017 00:00,Wed,1,1,0,0,Asian,Aggravated Assault,Store/Shop,Anti-White,78701,Edward,6
Jan,2017-889090,01/13/2017 12:00:00 AM,Thu,2,2,2,3,Asian,Robbery,Park/Playground,Anti-Black or African American,78705,Henry,5
Dec,2017-807327,10/26/2017 12:00:00 AM,Wed,0,2,0,2,Hispanic,Vandalism,Store/Shop,Anti-White,78705,Charlie,4
Jul,2017-816730,01-09-2017 00:00,Sun,0,1,0,2,Unknown,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78704,Charlie,7
Dec,2017-197831,01-01-2017 00:00,Sat,2,1,0,1,Black or African American/Not Hispanic,Robbery,Store/Shop,Anti-Other,78705,Ida,4
Feb,2017-549081,10-11-2017 00:00,Tue,0,0,2,3,Unknown,Vandalism,Other,Anti-Other,78704,Ida,3
Oct,2017-175507,09/21/2017 12:00:00 AM,Wed,0,1,0,3,Hispanic,Burglary,School/College,Anti-Asian,78701,Charlie,8
Aug,2017-680557,10/21/2017 12:00:00 AM,Fri,1,1,0,2,Unknown,Destruction,School/College,Anti-White,78705,Edward,9
Jul,2017-632915,01/30/2017 12:00:00 AM,Sun,2,2,2,0,White/Not Hispanic,Theft,Park/Playground,Anti-Asian,78701,Edward,1
Jun,2017-832236,02/24/2017 12:00:00 AM,Thu,2,0,2,3,Hispanic,Burglary,Store/Shop,Anti-Other,78701,Edward,5
Jan,2017-477768,12/21/2017 12:00:00 AM,Wed,0,1,2,0,White/Not Hispanic,Destruction,Home/Residence,Anti-Other,78702,Ida,7
May,2017-742789,05/20/2017 12:00:00 AM,Fri,1,0,1,0,Unknown,Destruction,Park/Playground,Anti-White,78757,David,7
Dec,2017-578322,03-10-2017 00:00,Thu,2,0,0,3,Unknown,Aggravated Assault,Home/Residence,Anti-Hispanic,78705,Ida,10
Jul,2017-449881,04/18/2017 12:00:00 AM,Mon,0,3,0,1,Unknown,Vandalism,School/College,Anti-Other,78704,David,5
Aug,2017-105744,07-08-2017 00:00,Fri,0,1,0,0,Unknown,Burglary,Store/Shop,Anti-Other,78702,David,1
Aug,2017-832534,09-06-2017 00:00,Tue,1,3,0,0,Hispanic,Destruction,Other,Anti-White,78702,David,6
Nov,2017-941281,08/13/2017 12:00:00 AM,Sat,2,1,1,0,Unknown,Burglary,School/College,Anti-Other,78757,Henry,3
Sep,2017-576725,12/16/2017 12:00:00 AM,Fri,1,0,0,0,Asian,Destruction,Store/Shop,Anti-Jewish,78705,Edward,5
Dec,2017-900188,05/31/2017 12:00:00 AM,Tue,0,0,1,3,White/Not Hispanic,Destruction,Other,Anti-Other,78702,Edward,10
Jul,2017-693104,04/22/2017 12:00:00 AM,Fri,2,1,1,1,Black or African American/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78704,Henry,8
Nov,2017-618462,12/21/2017 12:00:00 AM,Wed,0,0,1,0,White/Not Hispanic,Robbery,School/College,Anti-Asian,78705,Edward,10
Aug,2017-961429,12-01-2017 00:00,Thu,0,2,2,1,White/Not Hispanic,Vandalism,Store/Shop,Anti-Hispanic,78704,Charlie,4
May,2017-653792,10/13/2017 12:00:00 AM,Thu,2,2,0,2,White/Not Hispanic,Robbery,Park/Playground,Anti-Black or African American,78705,Ida,2
May,2017-242016,03/19/2017 12:00:00 AM,Sat,1,1,0,3,Hispanic,Robbery,Store/Shop,Anti-Jewish,78701,Ida,3
Dec,2017-526626,07-03-2017 00:00,Sun,1,0,2,3,Black or African American/Not Hispanic,Destruction,Store/Shop,Anti-Other,78704,Charlie,8
Oct,2017-947939,09/16/2017 12:00:00 AM,Fri,2,3,2,3,Unknown,Vandalism,Other,Anti-Other,78757,Edward,2
Aug,2017-995531,10-03-2017 00:00,Mon,0,3,2,2,White/Not Hispanic,Burglary,Home/Residence,Anti-Jewish,78757,Henry,2
Oct,2017-998049,05-10-2017 00:00,Tue,0,0,2,0,Asian,Aggravated Assault,School/College,Anti-Other,78757,Henry,6
Jun,2017-801154,05-09-2017 00:00,Mon,1,2,2,0,Black or African American/Not Hispanic,Burglary,School/College,Anti-Asian,78704,David,1
Dec,2017-903880,11/23/2017 12:00:00 AM,Wed,2,0,1,1,Other,Theft,Home/Residence,Anti-Other,78701,Edward,4
Jun,2017-893455,09/24/2017 12:00:00 AM,Sat,1,1,1,0,Other,Burglary,Store/Shop,Anti-Other,78701,Edward,7
May,2017-160253,05/28/2017 12:00:00 AM,Sat,2,2,2,3,Black or African American/Not Hispanic,Vandalism,Other,Anti-Jewish,78702,David,6
Mar,2017-345439,09/20/2017 12:00:00 AM,Tue,0,0,1,2,Black or African American/Not Hispanic,Destruction,School/College,Anti-Asian,78701,Henry,1
Dec,2017-166153,01/21/2017 12:00:00 AM,Fri,2,3,1,3,White/Not Hispanic,Robbery,Park/Playground,Anti-Asian,78757,David,9
Jan,2017-850731,12/28/2017 12:00:00 AM,Wed,0,2,2,1,Hispanic,Theft,Park/Playground,Anti-Other,78701,David,8
Nov,2017-167226,10-11-2017 00:00,Tue,0,2,1,2,Unknown,Burglary,Other,Anti-Jewish,78757,Charlie,8
Feb,2017-405447,02/22/2017 12:00:00 AM,Tue,2,1,1,0,Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,Henry,3
Oct,2017-690690,06-07-2017 00:00,Tue,0,2,2,2,White/Not Hispanic,Robbery,School/College,Anti-Black or African American,78705,Edward,6
Mar,2017-343002,07-01-2017 00:00,Fri,1,2,0,2,Black or African American/Not Hispanic,Theft,Home/Residence,Anti-Other,78757,Ida,7
Apr,2017-181941,06/14/2017 12:00:00 AM,Tue,0,2,2,0,Hispanic,Destruction,Other,Anti-Jewish,78705,David,8
Jun,2017-232042,07-04-2017 00:00,Mon,0,0,2,1,Other,Vandalism,Home/Residence,Anti-Asian,78757,Charlie,9
Jul,2017-790695,12/19/2017 12:00:00 AM,Mon,1,0,2,1,Other,Burglary,Other,Anti-Jewish,78704,Henry,8
May,2017-342455,06-07-2017 00:00,Tue,2,2,1,0,White/Not Hispanic,Theft,Other,Anti-Other,78701,Charlie,2
Jan,2017-324183,07-06-2017 00:00,Wed,2,3,0,0,White/Not Hispanic,Vandalism,Other,Anti-Black or African American,78701,Edward,6
Dec,2017-741849,10/25/2017 12:00:00 AM,Tue,1,3,0,1,White/Not Hispanic,Robbery,School/College,Anti-Black or African American,78705,Edward,8
Dec,2017-614547,11/24/2017 12:00:00 AM,Thu,1,0,2,2,Other,Destruction,Home/Residence,Anti-White,78757,Henry,10
Dec,2017-447207,12/19/2017 12:00:00 AM,Mon,1,2,0,3,White/Not Hispanic,Burglary,Store/Shop,Anti-Other,78701,Henry,5
Feb,2017-790051,07-10-2017 00:00,Sun,1,2,2,2,Other,Aggravated Assault,Home/Residence,Anti-White,78705,Edward,6
Jul,2017-456579,05/24/2017 12:00:00 AM,Tue,2,0,1,2,Hispanic,Robbery,Other,Anti-White,78705,David,2
Jan,2017-653736,03/20/2017 12:00:00 AM,Sun,0,2,1,3,Hispanic,Theft,Store/Shop,Anti-White,78704,Henry,6
Jul,2017-292397,03-08-2017 00:00,Tue,2,1,0,2,Unknown,Burglary,Other,Anti-Jewish,78701,Ida,7
Nov,2017-614825,07-03-2017 00:00,Sun,2,1,1,2,Hispanic,Robbery,School/College,Anti-Black or African American,78705,Henry,7
Jan,2017-359369,07-07-2017 00:00,Thu,0,1,1,1,White/Not Hispanic,Destruction,School/College,Anti-Asian,78704,David,9
Jan,2017-254314,09-09-2017 00:00,Fri,2,0,1,3,Hispanic,Destruction,Park/Playground,Anti-Black or African American,78757,Ida,6
Nov,2017-827524,04-10-2017 00:00,Sun,1,0,2,2,Asian,Robbery,School/College,Anti-Other,78757,Ida,10
Aug,2017-597757,04/29/2017 12:00:00 AM,Fri,0,3,0,2,Asian,Theft,Home/Residence,Anti-White,78704,Ida,3
May,2017-208560,02-05-2017 00:00,Sat,0,3,1,3,Unknown,Robbery,School/College,Anti-White,78701,Ida,8
Feb,2017-590505,01/30/2017 12:00:00 AM,Sun,0,3,0,2,Asian,Robbery,Store/Shop,Anti-Black or African American,78757,David,8
Mar,2017-536792,07/24/2017 12:00:00 AM,Sun,0,0,2,0,Other,Aggravated Assault,Other,Anti-Jewish,78701,Henry,1
Dec,2017-427124,11/23/2017 12:00:00 AM,Wed,1,1,2,0,White/Not Hispanic,Burglary,Other,Anti-White,78702,Edward,10
Oct,2017-316138,06/24/2017 12:00:00 AM,Fri,2,1,2,1,Unknown,Robbery,Store/Shop,Anti-Other,78757,Ida,1
Jun,2017-141818,09/20/2017 12:00:00 AM,Tue,2,3,0,1,White/Not Hispanic,Burglary,School/College,Anti-White,78705,Henry,10
Dec,2017-738303,10-10-2017 00:00,Mon,1,2,2,2,Other,Vandalism,Park/Playground,Anti-Black or African American,78702,Henry,8
Sep,2017-722421,10/17/2017 12:00:00 AM,Mon,2,1,0,1,Asian,Aggravated Assault,Store/Shop,Anti-White,78701,Ida,5
Sep,2017-975938,07-04-2017 00:00,Mon,1,1,2,1,Unknown,Vandalism,Store/Shop,Anti-Asian,78701,Charlie,3
Feb,2017-671389,11-05-2017 00:00,Sat,1,3,0,3,Black or African American/Not Hispanic,Theft,Other,Anti-White,78705,David,7
Dec,2017-199651,07/16/2017 12:00:00 AM,Sat,2,1,0,0,Hispanic,Destruction,Home/Residence,Anti-Hispanic,78705,Edward,8
Mar,2017-216207,02/24/2017 12:00:00 AM,Thu,2,3,1,1,White/Not Hispanic,Theft,Home/Residence,Anti-White,78704,Charlie,9
Feb,2017-383354,01/18/2017 12:00:00 AM,Tue,0,3,0,1,Hispanic,Robbery,Home/Residence,Anti-White,78705,Henry,3
Nov,2017-625028,01/24/2017 12:00:00 AM,Mon,1,1,1,3,Unknown,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78757,Edward,2
Sep,2017-328301,05-11-2017 00:00,Wed,0,1,1,3,Asian,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78757,Charlie,9
Aug,2017-343072,03/19/2017 12:00:00 AM,Sat,1,2,0,1,Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,Charlie,10
May,2017-983346,10-04-2017 00:00,Tue,1,0,0,3,Unknown,Robbery,Park/Playground,Anti-Other,78701,David,3
Jan,2017-483354,06-12-2017 00:00,Sun,1,2,2,0,Hispanic,Vandalism,School/College,Anti-Other,78704,Edward,1
Oct,2017-210769,10/13/2017 12:00:00 AM,Thu,0,1,2,1,Asian,Robbery,Park/Playground,Anti-Jewish,78702,Henry,9
Apr,2017-351550,06/24/2017 12:00:00 AM,Fri,2,1,1,0,White/Not Hispanic,Burglary,Store/Shop,Anti-Hispanic,78702,Ida,6
Jan,2017-528662,03-09-2017 00:00,Wed,2,2,2,2,Other,Theft,Other,Anti-Other,78704,Charlie,6
Feb,2017-403407,11/17/2017 12:00:00 AM,Thu,2,2,0,3,Black or African American/Not Hispanic,Destruction,School/College,Anti-Black or African American,78701,Edward,3
Dec,2017-733014,02/19/2017 12:00:00 AM,Sat,2,3,1,2,Unknown,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78701,Charlie,4
Apr,2017-676235,02/15/2017 12:00:00 AM,Tue,2,1,1,3,Unknown,Burglary,School/College,Anti-Jewish,78757,Ida,8
Jan,2017-968502,04-11-2017 00:00,Mon,1,0,2,2,Hispanic,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78701,Charlie,1
Dec,2017-199803,10-03-2017 00:00,Mon,0,1,1,2,Black or African American/Not Hispanic,Destruction,Other,Anti-Black or African American,78757,Ida,5
Jun,2017-348197,03-08-2017 00:00,Tue,2,1,1,0,Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78702,David,10
Feb,2017-324374,11/20/2017 12:00:00 AM,Sun,1,2,2,2,Unknown,Aggravated Assault,Home/Residence,Anti-Other,78757,Edward,1
Mar,2017-925780,06/22/2017 12:00:00 AM,Wed,2,0,1,0,Unknown,Robbery,Park/Playground,Anti-Hispanic,78701,Edward,5
Aug,2017-447549,07/27/2017 12:00:00 AM,Wed,2,3,0,2,Other,Robbery,Home/Residence,Anti-Hispanic,78704,Edward,10
Aug,2017-975056,05-08-2017 00:00,Sun,0,0,2,3,White/Not Hispanic,Aggravated Assault,Home/Residence,Anti-Jewish,78705,Charlie,4
Apr,2017-523986,08-09-2017 00:00,Tue,2,0,2,1,Unknown,Aggravated Assault,Home/Residence,Anti-Jewish,78701,Edward,4
Jun,2017-971717,10/20/2017 12:00:00 AM,Thu,2,1,2,2,Black or African American/Not Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78757,David,2
Nov,2017-268769,05-01-2017 00:00,Sun,0,1,0,0,Other,Robbery,Store/Shop,Anti-Black or African American,78702,Edward,8
Nov,2017-262635,08-06-2017 00:00,Sat,2,1,1,2,Asian,Aggravated Assault,Home/Residence,Anti-Black or African American,78757,David,6
Sep,2017-103730,10-02-2017 00:00,Sun,0,0,0,3,Asian,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-White,78757,Ida,10
Oct,2017-141141,09/19/2017 12:00:00 AM,Mon,0,2,2,2,Asian,Theft,Store/Shop,Anti-Asian,78702,Edward,9
Feb,2017-944882,03/22/2017 12:00:00 AM,Tue,2,3,2,3,Hispanic,Destruction,Store/Shop,Anti-White,78702,Ida,2
Oct,2017-871020,06-10-2017 00:00,Fri,2,1,2,3,Asian,Robbery,School/College,Anti-Hispanic,78757,Charlie,7
Nov,2017-203131,06-04-2017 00:00,Sat,0,0,2,1,Unknown,Theft,Store/Shop,Anti-White,78705,Henry,6
Oct,2017-823592,10/30/2017 12:00:00 AM,Sun,0,2,1,0,White/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Other,78757,Henry,4
Jun,2017-339500,04/17/2017 12:00:00 AM,Sun,0,0,2,0,White/Not Hispanic,Robbery,Other,Anti-Hispanic,78704,Henry,5
Nov,2017-221862,12-05-2017 00:00,Mon,0,2,1,2,White/Not Hispanic,Destruction,Store/Shop,Anti-Black or African American,78705,Edward,8
Jan,2017-961879,04-11-2017 00:00,Mon,0,2,1,0,Other,Robbery,Home/Residence,Anti-Jewish,78702,Charlie,10
Mar,2017-715955,04-08-2017 00:00,Fri,0,0,0,1,Other,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,Edward,9
Aug,2017-412059,04/17/2017 12:00:00 AM,Sun,1,2,2,2,White/Not Hispanic,Theft,Other,Anti-Jewish,78702,Charlie,10
Nov,2017-510990,03/18/2017 12:00:00 AM,Fri,1,0,1,2,Black or African American/Not Hispanic,Theft,Other,Anti-Other,78701,Henry,8
Jan,2017-710601,10-07-2017 00:00,Fri,0,3,1,0,White/Not Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-White,78757,David,10
Nov,2017-379787,03/21/2017 12:00:00 AM,Mon,1,0,2,2,Hispanic,Robbery,Other,Anti-Asian,78702,David,3
